,Quizz_ID,Year,Departement,Chapter_ID,Rank_onChapter,Quizz_Type,B,Slip,Guess,Number_Attempts,UniQ_Learner,Sucessful_Learners,Unsucessful_Learners,Avg_Attempts,Percent_Learners_Success,Success_Attempts,Failure_Attempts,TruePrct_Succes,Predict_Difficulty,Correct_Difficulty,Prediction/Correct Difficulty
1545,716,2016,Mathématique,1,7,QCM,0.2212,0.39,0.28,31,25,7,18,1.24,28.0,7,24,22.12,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
2375,716,2017,Mathématique,1,7,QCM,0.8837,0.07,0.99,27,27,24,3,1.0,88.89,24,3,88.37,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3205,716,2018,Mathématique,1,7,QCM,0.8642,0.07,0.95,27,23,23,0,1.17,100.0,23,4,86.42,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4035,716,2019,Mathématique,1,7,QCM,0.8004,0.16,0.71,22,21,18,3,1.05,85.71,18,4,80.04,Trop Facile,Facile,Trop Facile / Facile
4865,716,2020,Mathématique,1,7,QCM,0.8813,0.04,0.95,26,25,23,2,1.04,92.0,23,3,88.13,Trop Facile,Trop Facile,Trop Facile / Trop Facile
716,717,2015,Mathématique,1,8,QCU,0.8362,0.19,0.75,57,50,48,2,1.14,96.0,48,9,83.62,Facile,Facile,Facile / Facile
1546,717,2016,Mathématique,1,8,QCU,0.9847,0.01,0.93,58,57,57,0,1.02,100.0,57,1,98.47,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2376,717,2017,Mathématique,1,8,QCU,0.9495,0.02,0.9,63,63,60,3,1.0,95.24,60,3,94.95,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3206,717,2018,Mathématique,1,8,QCU,0.793,0.15,0.76,67,63,53,10,1.06,84.13,53,14,79.3,Trop Facile,Facile,Trop Facile / Facile
4036,717,2019,Mathématique,1,8,QCU,0.9629,0.0,1.0,64,63,62,1,1.02,98.41,62,2,96.29,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4866,717,2020,Mathématique,1,8,QCU,0.0708,0.55,0.26,71,31,5,26,2.29,16.13,5,66,7.08,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
717,718,2015,Mathématique,1,9,QCU,0.6775,0.17,0.56,46,43,31,12,1.07,72.09,31,15,67.75,Adapte,Adapte,Adapte / Adapte
1547,718,2016,Mathématique,1,9,QCU,0.6173,0.05,0.56,43,35,27,8,1.23,77.14,27,16,61.73,Adapte,Adapte,Adapte / Adapte
2377,718,2017,Mathématique,1,9,QCU,0.6093,0.24,0.42,41,30,25,5,1.37,83.33,25,16,60.93,Adapte,Adapte,Adapte / Adapte
3207,718,2018,Mathématique,1,9,QCU,0.6615,0.27,0.64,37,26,24,2,1.42,92.31,24,13,66.15,Adapte,Adapte,Adapte / Adapte
4037,718,2019,Mathématique,1,9,QCU,0.6655,0.28,0.57,37,33,25,8,1.12,75.76,25,12,66.55,Adapte,Adapte,Adapte / Adapte
4867,718,2020,Mathématique,1,9,QCU,0.6435,0.26,0.66,44,35,28,7,1.26,80.0,28,16,64.35,Adapte,Adapte,Adapte / Adapte
718,719,2015,Mathématique,1,10,QCU,0.3035,0.19,0.35,27,22,8,14,1.23,36.36,8,19,30.35,Difficile,Difficile,Difficile / Difficile
1548,719,2016,Mathématique,1,10,QCU,0.968,0.04,0.93,22,22,21,1,1.0,95.45,21,1,96.8,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2378,719,2017,Mathématique,1,10,QCU,0.0464,0.22,0.29,22,13,1,12,1.69,7.69,1,21,4.64,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
3208,719,2018,Mathématique,1,10,QCU,0.6502,0.25,0.69,23,18,15,3,1.28,83.33,15,8,65.02,Trop Facile,Adapte,Trop Facile / Adapte
4038,719,2019,Mathématique,1,10,QCU,0.6117,0.29,0.48,22,18,13,5,1.22,72.22,13,9,61.17,Adapte,Adapte,Adapte / Adapte
4868,719,2020,Mathématique,1,10,QCU,0.61,0.19,0.49,26,16,16,0,1.62,100.0,16,10,61.0,Adapte,Adapte,Adapte / Adapte
719,720,2015,Mathématique,2,1,QCM,0.0389,0.46,0.28,40,34,2,32,1.18,5.88,2,38,3.89,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
1549,720,2016,Mathématique,2,1,QCM,0.9547,0.09,0.83,44,43,42,1,1.02,97.67,42,2,95.47,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2379,720,2017,Mathématique,2,1,QCM,0.9453,0.0,0.96,43,41,41,0,1.05,100.0,41,2,94.53,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3209,720,2018,Mathématique,2,1,QCM,0.7023,0.27,0.51,49,41,34,7,1.2,82.93,34,15,70.23,Trop Facile,Adapte,Trop Facile / Adapte
4039,720,2019,Mathématique,2,1,QCM,0.7094,0.12,0.64,44,43,31,12,1.02,72.09,31,13,70.94,Adapte,Adapte,Adapte / Adapte
4869,720,2020,Mathématique,2,1,QCM,0.6092,0.05,0.56,42,41,26,15,1.02,63.41,26,16,60.92,Adapte,Adapte,Adapte / Adapte
720,721,2015,Mathématique,2,2,QCM,0.8445,0.04,0.77,82,71,69,2,1.15,97.18,69,13,84.45,Facile,Facile,Facile / Facile
1550,721,2016,Mathématique,2,2,QCM,0.8364,0.16,0.74,70,61,59,2,1.15,96.72,59,11,83.64,Trop Facile,Facile,Trop Facile / Facile
2380,721,2017,Mathématique,2,2,QCM,0.727,0.2,0.58,68,67,49,18,1.01,73.13,49,19,72.7,Trop Facile,Adapte,Trop Facile / Adapte
3210,721,2018,Mathématique,2,2,QCM,0.63,0.06,0.5,55,45,35,10,1.22,77.78,35,20,63.0,Adapte,Adapte,Adapte / Adapte
4040,721,2019,Mathématique,2,2,QCM,0.6511,0.15,0.46,66,49,43,6,1.35,87.76,43,23,65.11,Adapte,Adapte,Adapte / Adapte
4870,721,2020,Mathématique,2,2,QCM,0.6142,0.28,0.42,55,35,34,1,1.57,97.14,34,21,61.42,Adapte,Adapte,Adapte / Adapte
721,722,2015,Mathématique,2,3,QCU,0.1929,0.63,0.26,73,45,14,31,1.62,31.11,14,59,19.29,Facile,Trop Difficile,Facile / Trop Difficile
1551,722,2016,Mathématique,2,3,QCU,0.8827,0.06,0.98,72,71,64,7,1.01,90.14,64,8,88.27,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2381,722,2017,Mathématique,2,3,QCU,0.0397,0.13,0.28,61,24,2,22,2.54,8.33,2,59,3.97,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
3211,722,2018,Mathématique,2,3,QCU,0.9962,0.08,0.91,54,54,54,0,1.0,100.0,54,0,99.62,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4041,722,2019,Mathématique,2,3,QCU,0.9739,0.0,0.93,46,45,45,0,1.02,100.0,45,1,97.39,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4871,722,2020,Mathématique,2,3,QCU,0.9302,0.09,0.97,42,41,39,2,1.02,95.12,39,3,93.02,Trop Facile,Trop Facile,Trop Facile / Trop Facile
722,723,2015,Mathématique,3,1,QCU,0.8345,0.05,0.77,22,19,18,1,1.16,94.74,18,4,83.45,Facile,Facile,Facile / Facile
1552,723,2016,Mathématique,3,1,QCU,0.9161,0.02,0.93,23,22,21,1,1.05,95.45,21,2,91.61,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2382,723,2017,Mathématique,3,1,QCU,0.8937,0.08,1.0,21,20,19,1,1.05,95.0,19,2,89.37,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3212,723,2018,Mathématique,3,1,QCU,0.6423,0.23,0.69,23,18,15,3,1.28,83.33,15,8,64.23,Trop Facile,Adapte,Trop Facile / Adapte
4042,723,2019,Mathématique,3,1,QCU,0.6494,0.06,0.52,22,18,14,4,1.22,77.78,14,8,64.94,Adapte,Adapte,Adapte / Adapte
4872,723,2020,Mathématique,3,1,QCU,0.6902,0.06,0.62,22,20,15,5,1.1,75.0,15,7,69.02,Adapte,Adapte,Adapte / Adapte
723,724,2015,Mathématique,3,2,QCM,0.9996,0.02,0.99,31,31,31,0,1.0,100.0,31,0,99.96,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1553,724,2016,Mathématique,3,2,QCM,0.8694,0.09,0.97,32,31,28,3,1.03,90.32,28,4,86.94,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2383,724,2017,Mathématique,3,2,QCM,0.9731,0.09,0.86,30,30,29,1,1.0,96.67,29,1,97.31,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3213,724,2018,Mathématique,3,2,QCM,0.8811,0.03,0.84,31,31,27,4,1.0,87.1,27,4,88.11,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4043,724,2019,Mathématique,3,2,QCM,0.973,0.1,0.88,28,27,27,0,1.04,100.0,27,1,97.3,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4873,724,2020,Mathématique,3,2,QCM,0.9968,0.08,0.94,22,22,22,0,1.0,100.0,22,0,99.68,Trop Facile,Trop Facile,Trop Facile / Trop Facile
724,725,2015,Mathématique,3,3,QCU,0.9879,0.03,0.96,50,50,49,1,1.0,98.0,49,1,98.79,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1554,725,2016,Mathématique,3,3,QCU,0.9181,0.05,0.94,41,39,38,1,1.05,97.44,38,3,91.81,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2384,725,2017,Mathématique,3,3,QCU,0.906,0.09,0.91,41,38,37,1,1.08,97.37,37,4,90.6,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3214,725,2018,Mathématique,3,3,QCU,0.9165,0.05,0.94,46,46,42,4,1.0,91.3,42,4,91.65,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4044,725,2019,Mathématique,3,3,QCU,0.9306,0.09,0.96,45,42,42,0,1.07,100.0,42,3,93.06,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4874,725,2020,Mathématique,3,3,QCU,0.9779,0.04,0.95,48,47,47,0,1.02,100.0,47,1,97.79,Trop Facile,Trop Facile,Trop Facile / Trop Facile
725,726,2015,Mathématique,3,4,QCU,0.8112,0.11,0.78,79,66,64,2,1.2,96.97,64,15,81.12,Facile,Facile,Facile / Facile
1555,726,2016,Mathématique,3,4,QCU,0.8921,0.05,0.92,73,73,65,8,1.0,89.04,65,8,89.21,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2385,726,2017,Mathématique,3,4,QCU,0.9401,0.08,0.93,64,62,60,2,1.03,96.77,60,4,94.01,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3215,726,2018,Mathématique,3,4,QCU,0.92,0.06,0.93,76,72,70,2,1.06,97.22,70,6,92.0,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4045,726,2019,Mathématique,3,4,QCU,0.9752,0.02,0.94,82,81,80,1,1.01,98.77,80,2,97.52,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4875,726,2020,Mathématique,3,4,QCU,0.9623,0.09,0.99,66,65,64,1,1.02,98.46,64,2,96.23,Trop Facile,Trop Facile,Trop Facile / Trop Facile
726,727,2015,Mathématique,3,5,QCM,0.5121,0.26,0.33,14,9,7,2,1.56,77.78,7,7,51.21,Difficile,Difficile,Difficile / Difficile
1556,727,2016,Mathématique,3,5,QCM,0.9453,0.05,0.9,16,15,15,0,1.07,100.0,15,1,94.53,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2386,727,2017,Mathématique,3,5,QCM,0.8943,0.03,0.84,18,16,16,0,1.12,100.0,16,2,89.43,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3216,727,2018,Mathématique,3,5,QCM,0.9136,0.05,0.87,18,16,16,0,1.12,100.0,16,2,91.36,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4046,727,2019,Mathématique,3,5,QCM,0.9898,0.08,0.95,14,14,14,0,1.0,100.0,14,0,98.98,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4876,727,2020,Mathématique,3,5,QCM,0.6253,0.1,0.68,17,12,11,1,1.42,91.67,11,6,62.53,Trop Facile,Adapte,Trop Facile / Adapte
727,728,2015,Mathématique,3,6,QCM,0.2044,0.56,0.2,77,39,16,23,1.97,41.03,16,61,20.44,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
1557,728,2016,Mathématique,3,6,QCM,0.9281,0.06,0.98,91,85,84,1,1.07,98.82,84,7,92.81,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2387,728,2017,Mathématique,3,6,QCM,0.4625,0.41,0.4,90,89,42,47,1.01,47.19,42,48,46.25,Trop Facile,Difficile,Trop Facile / Difficile
3217,728,2018,Mathématique,3,6,QCM,0.9108,0.06,0.94,90,87,82,5,1.03,94.25,82,8,91.08,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4047,728,2019,Mathématique,3,6,QCM,0.9645,0.02,0.89,81,78,78,0,1.04,100.0,78,3,96.45,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4877,728,2020,Mathématique,3,6,QCM,0.9438,0.03,0.83,94,92,89,3,1.02,96.74,89,5,94.38,Trop Facile,Trop Facile,Trop Facile / Trop Facile
728,729,2015,Mathématique,3,7,QCM,0.8753,0.02,0.92,75,74,66,8,1.01,89.19,66,9,87.53,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1558,729,2016,Mathématique,3,7,QCM,0.984,0.07,0.99,66,65,65,0,1.02,100.0,65,1,98.4,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2388,729,2017,Mathématique,3,7,QCM,0.9762,0.06,0.9,63,63,62,1,1.0,98.41,62,1,97.62,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3218,729,2018,Mathématique,3,7,QCM,0.2601,0.17,0.37,56,27,15,12,2.07,55.56,15,41,26.01,Trop Facile,Difficile,Trop Facile / Difficile
4048,729,2019,Mathématique,3,7,QCM,0.885,0.01,0.9,64,57,57,0,1.12,100.0,57,7,88.5,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4878,729,2020,Mathématique,3,7,QCM,0.924,0.07,0.85,54,51,50,1,1.06,98.04,50,4,92.4,Trop Facile,Trop Facile,Trop Facile / Trop Facile
729,730,2015,Mathématique,3,8,QCM,0.1906,0.5,0.22,77,73,15,58,1.05,20.55,15,62,19.06,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
1559,730,2016,Mathématique,3,8,QCM,0.8643,0.08,0.84,92,90,80,10,1.02,88.89,80,12,86.43,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2389,730,2017,Mathématique,3,8,QCM,0.0754,0.6,0.23,106,55,8,47,1.93,14.55,8,98,7.54,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
3219,730,2018,Mathématique,3,8,QCM,0.9408,0.1,0.92,112,112,105,7,1.0,93.75,105,7,94.08,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4049,730,2019,Mathématique,3,8,QCM,0.1701,0.32,0.29,111,41,19,22,2.71,46.34,19,92,17.01,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
4879,730,2020,Mathématique,3,8,QCM,0.8798,0.01,0.89,124,122,109,13,1.02,89.34,109,15,87.98,Trop Facile,Trop Facile,Trop Facile / Trop Facile
730,731,2015,Mathématique,3,9,QCM,0.0188,0.48,0.22,7,5,0,5,1.4,0.0,0,7,1.88,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
1560,731,2016,Mathématique,3,9,QCM,0.8901,0.09,0.86,7,7,6,1,1.0,85.71,6,1,89.01,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2390,731,2017,Mathématique,3,9,QCM,0.9987,0.01,0.93,7,7,7,0,1.0,100.0,7,0,99.87,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3220,731,2018,Mathématique,3,9,QCM,0.9974,0.04,0.81,6,6,6,0,1.0,100.0,6,0,99.74,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4050,731,2019,Mathématique,3,9,QCM,0.141,0.73,0.29,6,4,1,3,1.5,25.0,1,5,14.1,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
4880,731,2020,Mathématique,3,9,QCM,0.9293,0.0,0.92,5,5,5,0,1.0,100.0,5,0,92.93,Trop Facile,Trop Facile,Trop Facile / Trop Facile
731,732,2015,Mathématique,3,10,QCU,0.9967,0.09,0.9,42,42,42,0,1.0,100.0,42,0,99.67,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1561,732,2016,Mathématique,3,10,QCU,0.9803,0.07,0.97,45,45,44,1,1.0,97.78,44,1,98.03,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2391,732,2017,Mathématique,3,10,QCU,0.4348,0.3,0.35,46,35,20,15,1.31,57.14,20,26,43.48,Trop Facile,Difficile,Trop Facile / Difficile
3221,732,2018,Mathématique,3,10,QCU,0.9362,0.09,0.95,52,51,49,2,1.02,96.08,49,3,93.62,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4051,732,2019,Mathématique,3,10,QCU,0.8618,0.07,0.94,54,54,47,7,1.0,87.04,47,7,86.18,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4881,732,2020,Mathématique,3,10,QCU,0.8895,0.02,0.99,44,40,39,1,1.1,97.5,39,5,88.95,Trop Facile,Trop Facile,Trop Facile / Trop Facile
732,733,2015,Mathématique,3,11,QCU,0.2248,0.15,0.23,24,12,5,7,2.0,41.67,5,19,22.48,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
1562,733,2016,Mathématique,3,11,QCU,0.1389,0.3,0.26,22,10,3,7,2.2,30.0,3,19,13.89,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
2392,733,2017,Mathématique,3,11,QCU,0.7846,0.18,0.83,25,22,20,2,1.14,90.91,20,5,78.46,Trop Facile,Facile,Trop Facile / Facile
3222,733,2018,Mathématique,3,11,QCU,0.8667,0.01,0.93,25,23,22,1,1.09,95.65,22,3,86.67,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4052,733,2019,Mathématique,3,11,QCU,0.8336,0.16,0.82,20,18,17,1,1.11,94.44,17,3,83.36,Trop Facile,Facile,Trop Facile / Facile
4882,733,2020,Mathématique,3,11,QCU,0.9633,0.03,0.94,20,19,19,0,1.05,100.0,19,1,96.33,Trop Facile,Trop Facile,Trop Facile / Trop Facile
733,734,2015,Mathématique,3,12,QCU,0.2975,0.29,0.38,58,56,17,39,1.04,30.36,17,41,29.75,Trop Facile,Difficile,Trop Facile / Difficile
1563,734,2016,Mathématique,3,12,QCU,0.9299,0.09,0.99,51,48,47,1,1.06,97.92,47,4,92.99,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2393,734,2017,Mathématique,3,12,QCU,0.9804,0.06,0.91,47,46,46,0,1.02,100.0,46,1,98.04,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3223,734,2018,Mathématique,3,12,QCU,0.8937,0.08,0.99,42,40,38,2,1.05,95.0,38,4,89.37,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4053,734,2019,Mathématique,3,12,QCU,0.9306,0.08,0.91,44,44,41,3,1.0,93.18,41,3,93.06,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4883,734,2020,Mathématique,3,12,QCU,0.8357,0.03,0.88,42,39,35,4,1.08,89.74,35,7,83.57,Trop Facile,Facile,Trop Facile / Facile
734,735,2015,Mathématique,3,13,QCM,0.9922,0.1,0.87,46,46,46,0,1.0,100.0,46,0,99.22,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1564,735,2016,Mathématique,3,13,QCM,0.8342,0.02,0.76,48,48,40,8,1.0,83.33,40,8,83.42,Trop Facile,Facile,Trop Facile / Facile
2394,735,2017,Mathématique,3,13,QCM,0.8942,0.04,0.91,57,52,51,1,1.1,98.08,51,6,89.42,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3224,735,2018,Mathématique,3,13,QCM,0.9758,0.1,0.91,52,51,51,0,1.02,100.0,51,1,97.58,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4054,735,2019,Mathématique,3,13,QCM,0.9417,0.1,0.8,62,61,58,3,1.02,95.08,58,4,94.17,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4884,735,2020,Mathématique,3,13,QCM,0.9608,0.1,0.81,52,52,50,2,1.0,96.15,50,2,96.08,Trop Facile,Trop Facile,Trop Facile / Trop Facile
735,736,2015,Mathématique,4,1,QCU,0.0311,0.46,0.24,91,55,3,52,1.65,5.45,3,88,3.11,Trop Difficile,Trop Difficile,Trop Difficile / Trop Difficile
1565,736,2016,Mathématique,4,1,QCU,0.8134,0.1,0.86,108,107,88,19,1.01,82.24,88,20,81.34,Trop Facile,Facile,Trop Facile / Facile
2395,736,2017,Mathématique,4,1,QCU,0.8885,0.09,0.98,124,112,110,2,1.11,98.21,110,14,88.85,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3225,736,2018,Mathématique,4,1,QCU,0.966,0.09,0.94,124,121,120,1,1.02,99.17,120,4,96.6,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4055,736,2019,Mathématique,4,1,QCU,0.8834,0.06,0.92,99,96,87,9,1.03,90.62,87,12,88.34,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4885,736,2020,Mathématique,4,1,QCU,0.9984,0.09,1.0,109,109,109,0,1.0,100.0,109,0,99.84,Trop Facile,Trop Facile,Trop Facile / Trop Facile
736,737,2015,Mathématique,4,2,QCM,0.2637,0.18,0.32,82,80,22,58,1.02,27.5,22,60,26.37,Difficile,Difficile,Difficile / Difficile
1566,737,2016,Mathématique,4,2,QCM,0.5602,0.47,0.34,96,74,54,20,1.3,72.97,54,42,56.02,Trop Facile,Difficile,Trop Facile / Difficile
2396,737,2017,Mathématique,4,2,QCM,0.7212,0.24,0.41,103,102,74,28,1.01,72.55,74,29,72.12,Trop Facile,Adapte,Trop Facile / Adapte
3226,737,2018,Mathématique,4,2,QCM,0.6549,0.1,0.52,114,91,75,16,1.25,82.42,75,39,65.49,Adapte,Adapte,Adapte / Adapte
4056,737,2019,Mathématique,4,2,QCM,0.6198,0.0,0.56,116,99,72,27,1.17,72.73,72,44,61.98,Adapte,Adapte,Adapte / Adapte
4886,737,2020,Mathématique,4,2,QCM,0.7027,0.2,0.57,104,94,73,21,1.11,77.66,73,31,70.27,Adapte,Adapte,Adapte / Adapte
737,738,2015,Mathématique,4,3,QCU,0.9445,0.03,0.99,73,72,69,3,1.01,95.83,69,4,94.45,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1567,738,2016,Mathématique,4,3,QCU,0.8667,0.09,0.94,80,70,69,1,1.14,98.57,69,11,86.67,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2397,738,2017,Mathématique,4,3,QCU,0.974,0.07,0.95,83,82,81,1,1.01,98.78,81,2,97.4,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3227,738,2018,Mathématique,4,3,QCU,0.9782,0.09,0.98,100,100,98,2,1.0,98.0,98,2,97.82,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4057,738,2019,Mathématique,4,3,QCU,0.9604,0.02,0.93,88,86,85,1,1.02,98.84,85,3,96.04,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4887,738,2020,Mathématique,4,3,QCU,0.9708,0.03,0.97,85,85,83,2,1.0,97.65,83,2,97.08,Trop Facile,Trop Facile,Trop Facile / Trop Facile
738,739,2015,Mathématique,4,4,QCM,0.8952,0.08,0.99,35,34,31,3,1.03,91.18,31,4,89.52,Trop Facile,Trop Facile,Trop Facile / Trop Facile
1568,739,2016,Mathématique,4,4,QCM,0.9881,0.02,0.86,32,32,32,0,1.0,100.0,32,0,98.81,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2398,739,2017,Mathématique,4,4,QCM,0.9749,0.01,0.81,29,29,28,1,1.0,96.55,28,1,97.49,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3228,739,2018,Mathématique,4,4,QCM,0.711,0.15,0.69,31,24,22,2,1.29,91.67,22,9,71.1,Trop Facile,Adapte,Trop Facile / Adapte
4058,739,2019,Mathématique,4,4,QCM,0.6729,0.12,0.42,25,21,17,4,1.19,80.95,17,8,67.29,Adapte,Adapte,Adapte / Adapte
4888,739,2020,Mathématique,4,4,QCM,0.6127,0.09,0.62,23,19,14,5,1.21,73.68,14,9,61.27,Adapte,Adapte,Adapte / Adapte
739,740,2015,Mathématique,5,1,QCM,0.8174,0.09,0.79,99,86,81,5,1.15,94.19,81,18,81.74,Facile,Facile,Facile / Facile
1569,740,2016,Mathématique,5,1,QCM,0.9565,0.03,0.96,92,91,88,3,1.01,96.7,88,4,95.65,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2399,740,2017,Mathématique,5,1,QCM,0.9037,0.03,0.9,81,73,73,0,1.11,100.0,73,8,90.37,Trop Facile,Trop Facile,Trop Facile / Trop Facile
3229,740,2018,Mathématique,5,1,QCM,0.9818,0.1,0.93,81,81,80,1,1.0,98.77,80,1,98.18,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4059,740,2019,Mathématique,5,1,QCM,0.9444,0.07,0.95,83,79,78,1,1.05,98.73,78,5,94.44,Trop Facile,Trop Facile,Trop Facile / Trop Facile
4889,740,2020,Mathématique,5,1,QCM,0.0161,0.28,0.29,96,73,2,71,1.32,2.74,2,94,1.61,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
740,741,2015,Mathématique,5,2,QCU,0.7689,0.17,0.82,46,43,35,8,1.07,81.4,35,11,76.89,Facile,Facile,Facile / Facile
1570,741,2016,Mathématique,5,2,QCU,0.6891,0.0,0.64,40,35,28,7,1.14,80.0,28,12,68.91,Trop Facile,Adapte,Trop Facile / Adapte
2400,741,2017,Mathématique,5,2,QCU,0.6501,0.03,0.46,39,30,25,5,1.3,83.33,25,14,65.01,Adapte,Adapte,Adapte / Adapte
3230,741,2018,Mathématique,5,2,QCU,0.6674,0.29,0.46,42,40,28,12,1.05,70.0,28,14,66.74,Adapte,Adapte,Adapte / Adapte
4060,741,2019,Mathématique,5,2,QCU,0.7212,0.14,0.45,38,35,27,8,1.09,77.14,27,11,72.12,Adapte,Adapte,Adapte / Adapte
4890,741,2020,Mathématique,5,2,QCU,0.6737,0.13,0.6,46,40,31,9,1.15,77.5,31,15,67.37,Adapte,Adapte,Adapte / Adapte
741,742,2015,Mathématique,5,3,QO,0.3857,0.81,0.06,74,71,29,42,1.04,40.85,29,45,38.57,Difficile,Difficile,Difficile / Difficile
1571,742,2016,Mathématique,5,3,QO,0.8985,0.02,0.57,80,77,72,5,1.04,93.51,72,8,89.85,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2401,742,2017,Mathématique,5,3,QO,0.7404,0.7,0.24,64,57,47,10,1.12,82.46,47,17,74.04,Trop Facile,Adapte,Trop Facile / Adapte
3231,742,2018,Mathématique,5,3,QO,0.7213,0.23,0.25,68,67,49,18,1.01,73.13,49,19,72.13,Adapte,Adapte,Adapte / Adapte
4061,742,2019,Mathématique,5,3,QO,0.7104,0.3,0.18,78,73,55,18,1.07,75.34,55,23,71.04,Adapte,Adapte,Adapte / Adapte
4891,742,2020,Mathématique,5,3,QO,0.7472,0.44,0.21,63,55,47,8,1.15,85.45,47,16,74.72,Adapte,Adapte,Adapte / Adapte
742,743,2015,Mathématique,5,4,QCU,0.1783,0.3,0.21,93,84,17,67,1.11,20.24,17,76,17.83,Trop Facile,Trop Difficile,Trop Facile / Trop Difficile
1572,743,2016,Mathématique,5,4,QCU,0.9847,0.0,0.91,77,76,76,0,1.01,100.0,76,1,98.47,Trop Facile,Trop Facile,Trop Facile / Trop Facile
2402,743,2017,Mathématique,5,4,QCU,0.8653,0.08,0.91,83,77,72,5,1.08,93.51,72,11,86.53,Trop Facile,Trop Facile,Trop Facile / Trop Facile
